started	session	models	calls	span	active	input	cache_create	cache_read	output
2026-08-21T17:11:10	c3022811-a04a-4f76-a981-b77523576ecb	claude-sonnet-5	7	00:00:34	00:00:34	14	93017	523208	2034
2026-08-21T17:13:52	5632d070-9f61-4e2a-8ccb-825a33b494a2	claude-sonnet-5	27	00:01:33	00:01:33	54	113682	2455722	8102
2026-08-21T17:24:27	b2d59ea6-440b-45c6-97e2-9a5a4612fed8	claude-opus-5	9	00:00:54	00:00:54	18	123606	551044	5914
2026-08-21T17:26:14	3f13416a-be59-4926-8324-8b7fc0630962	claude-sonnet-5	24	00:01:15	00:01:15	48	230102	2408229	8612
2026-08-21T17:28:55	c8977a20-d81f-463b-8033-919f6be350eb	claude-sonnet-5	77	00:16:53	00:16:53	152	135845	8468588	43715
2026-08-21T17:48:03	443f7bf1-d2d9-42a7-8713-07cc1df4c61b	claude-sonnet-5	33	00:08:37	00:02:50	62	92228	3136328	8790
